date,new_confirmed,cumulative_confirmed,new_deceased,cumulative_deceased,new_persons_vaccinated,cumulative_persons_fully_vaccinated,new_hospitalized_patients,cumulative_hospitalized_patients,new_recovered,cumulative_recovered,cumulative_tested,investment_in_vaccines,new_recovered_1,cumulative_recovered_1,current_hospitalized_patients
3/3/2021,2733,497154,38,10029,11623,346841,24,45723,10560,295690,2305317,0,10560,295690,559
3/3/2021,374,171836,4,1871,4472,140583,20,7131,229,94936,641917,,229,94936,121
3/3/2021,380,295675,19,6743,10667,232494,0,9162,0,278162,1755049,,0,278162,469
3/3/2021,187,75990,5,1175,6832,103470,4,1123,241,72600,1467389,,241,72600,89
3/3/2021,181,112833,5,1893,3272,97334,14,6654,158,108947,694883,,158,108947,97
3/3/2021,193,100351,1,1373,3146,97027,9,4600,128,97327,1086548,,128,97327,67
3/3/2021,779,486434,17,6507,22004,488337,37,25863,782,473252,6960999,,782,473252,243
3/3/2021,1899,584743,70,16252,27788,557064,269,19713,0,494740,16419989,,0,494740,755
3/3/2021,147,45091,2,705,197,108974,9,1545,9,12820,1622215,,9,12820,67
3/3/2021,356,185898,13,3753,8461,260535,42,13190,1527,150168,2720382,0,1527,150168,195
3/3/2021,1172,407373,33,4704,13160,369729,70,19304,140,47927,3940366,,140,47927,680
3/3/2021,404,323353,7,5261,10505,242999,31,14826,373,313799,2709946,,373,313799,397
3/2/2021,607,618307,36,7050,12946,525277,64,26222,450,550730,6938594,0,450,550730,275
3/2/2021,215,75803,0,1170,4909,101109,1,1119,304,72359,1465475,,304,72359,88
3/2/2021,245,185542,11,3740,5274,254632,21,13148,1195,148641,2710151,0,1195,148641,199
3/2/2021,1075,406201,19,4671,10976,361821,91,19234,195,47787,3922153,,195,47787,684
3/2/2021,652,494421,60,9991,9878,330046,51,45699,0,285130,2295722,0,0,285130,631
3/2/2021,301,295295,43,6724,5170,224099,150,9162,4725,278162,1754669,,4725,278162,457
3/2/2021,1736,970583,-157,17189,32258,948185,121,50503,3419,914893,10084481,,3419,914893,1131
3/2/2021,425,485655,4,6490,7919,476415,99,25826,823,472470,6943992,,823,472470,243
3/2/2021,105,99957,2,1477,127,79607,3,3874,98,97934,1413141,,98,97934,24
3/2/2021,440,322949,4,5254,6299,236706,32,14795,424,313426,2702395,,424,313426,416
3/2/2021,155,100158,15,1372,600,94683,7,4591,162,97199,1081562,,162,97199,83
3/2/2021,111,424999,56,4534,3940,401779,4,23999,269,407934,3525279,,269,407934,447
3/2/2021,487,371979,9,1949,14327,191035,29,14753,923,353737,2865473,0,923,353737,237
3/2/2021,182,112652,0,1888,383,95545,8,6640,125,108789,692858,,125,108789,92
3/2/2021,400,201346,2,2084,5704,162493,34,6140,379,155712,2382251,,379,155712,154
3/2/2021,301,582844,38,16182,18013,538986,0,19444,0,494740,16317937,,0,494740,775
3/2/2021,644,776337,15,11436,8429,470596,59,18679,1021,751776,6797475,0,1021,751776,991
3/2/2021,322,171462,7,1867,2814,135920,35,7111,477,94707,640412,,477,94707,121
3/2/2021,847,518823,14,8576,4320,359783,22,20428,0,230793,5068421,0,0,230793,706
3/2/2021,468,383170,26,7905,16059,513499,83,35152,8,9677,7917331,,8,9677,896
3/2/2021,182,44944,0,703,368,108916,7,1536,6,12811,1609150,,6,12811,69
3/2/2021,56,54527,11,682,36,54562,1,1385,91,53339,641380,,91,53339,24
3/1/2021,1153,517976,32,8562,17626,357296,19,20406,0,230793,5053310,0,0,230793,725
3/1/2021,333,617700,0,7014,12774,517730,31,26158,612,550280,6921918,0,612,550280,287
3/1/2021,603,382702,10,7879,22669,503576,69,35069,2,9669,7906291,,2,9669,904
3/1/2021,380,424888,50,4478,15858,400460,10,23995,353,407665,3509717,,353,407665,484
3/1/2021,43,99852,3,1475,2404,79483,4,3871,77,97836,1410827,,77,97836,25
3/1/2021,636,485230,3,6486,21686,469986,8,25727,828,471647,6934737,,828,471647,230
3/1/2021,1395,582543,26,16144,40087,523119,0,19444,0,494740,16261930,,0,494740,788
3/1/2021,98,200946,0,2082,1125,159766,4,6106,424,155333,2373731,,424,155333,158
3/1/2021,0,171140,0,1860,6628,133284,0,7076,0,94230,638919,,0,94230,162
3/1/2021,164,75588,0,1170,3064,100268,0,1118,333,72055,1461579,,333,72055,90
3/1/2021,94,322509,7,5250,6065,233685,0,14763,244,313002,2698497,,244,313002,441
3/1/2021,165,185297,13,3729,2692,248615,19,13127,1433,147446,2699792,0,1433,147446,186
3/1/2021,77,54471,0,671,31,54518,2,1384,116,53248,640594,,116,53248,28
3/1/2021,504,405126,15,4652,16716,358604,42,19143,48,47592,3919142,,48,47592,719
3/1/2021,43,112470,0,1888,2296,95432,6,6632,58,108664,692321,,58,108664,92
3/1/2021,199,294994,0,6681,8376,220044,0,9012,0,273437,1754368,,0,273437,455
3/1/2021,257,371492,5,1940,74,177939,29,14724,511,352814,2859188,0,511,352814,238
3/1/2021,517,493769,2,9931,3564,316073,220,45648,0,285130,2292074,0,0,285130,651
3/1/2021,49,100003,0,1357,2309,93750,3,4584,55,97037,1079671,,55,97037,68
3/1/2021,128,44762,0,703,979,108839,2,1529,5,12805,1600443,,5,12805,62
3/1/2021,689,775693,10,11421,24523,468251,15,18620,892,750755,6789970,0,892,750755,1009
3/1/2021,1425,968847,49,17346,36177,920316,103,50382,1950,911474,10056602,,1950,911474,1181
2/28/2021,233,171140,1,1860,6830,128072,11,7076,255,94230,638919,,255,94230,162
2/28/2021,44,54394,0,671,2435,54368,1,1382,134,53132,636716,,134,53132,25
2/28/2021,258,75424,0,1170,9090,99875,4,1118,398,71722,1458750,,398,71722,87
2/28/2021,704,294795,12,6681,12789,210798,0,9012,0,273437,1730981,,0,273437,492
2/28/2021,167,200848,0,2082,15832,158802,3,6102,570,154909,2371202,,570,154909,151
2/28/2021,244,185132,16,3716,16935,245357,11,13108,2239,146013,2693461,0,2239,146013,192
2/28/2021,3220,322415,-174,5243,13625,227450,0,14763,3490,312758,2695887,,3490,312758,455
2/28/2021,569,493252,-1,9929,6537,313290,0,45428,0,285130,2290216,0,0,285130,657
2/28/2021,706,424508,49,4428,22394,393028,76,23985,818,407312,3509337,,818,407312,484
2/28/2021,827,382099,13,7869,24105,487671,73,35000,8,9667,7887028,,8,9667,868
2/28/2021,29,99809,0,1472,4880,77942,1,3867,81,97759,1409615,,81,97759,21
2/28/2021,1117,775004,18,11411,33864,458159,19,18605,1124,749863,6780861,0,1124,749863,1004
2/28/2021,481,617367,0,7014,20945,500342,39,26127,784,549668,6906878,0,784,549668,290
2/28/2021,142,44634,1,703,515,108688,2,1527,2,12800,1597098,,2,12800,72
2/28/2021,804,484594,8,6483,53104,455544,5,25719,860,470819,6916577,,860,470819,263
2/28/2021,465,371235,6,1935,341,177863,31,14695,907,352303,2853915,0,907,352303,230
2/28/2021,134,112427,2,1888,5393,93922,16,6626,109,108606,691692,,109,108606,89
2/28/2021,1468,581148,51,16118,26110,496356,0,19444,0,494740,16208091,,0,494740,760
2/28/2021,1751,516823,32,8530,12265,345618,47,20387,0,230793,5027738,0,0,230793,769
2/28/2021,675,404622,12,4637,19584,348731,11,19101,19,47544,3904567,,19,47544,732
2/28/2021,1268,967422,60,17297,48199,896436,82,50279,2114,909524,10030523,,2114,909524,1149
2/28/2021,117,99954,1,1357,4893,92720,2,4581,258,96982,1077988,,258,96982,68
2/27/2021,312,170907,9,1859,6266,121491,8,7065,296,93975,637883,,296,93975,162
2/27/2021,0,54350,0,671,2390,51976,0,1381,0,52998,636716,,0,52998,25
2/27/2021,549,294091,31,6669,13842,197908,0,9012,0,273437,1730277,,0,273437,492
2/27/2021,224,99837,2,1356,4677,87239,8,4579,362,96724,1074437,,362,96724,68
2/27/2021,1021,403947,25,4625,22775,329060,109,19090,134,47525,3904567,,134,47525,765
2/27/2021,779,423802,59,4379,18576,367540,30,23909,1127,406494,3508631,,1127,406494,484
2/27/2021,273,75166,3,1170,8617,97674,5,1114,425,71324,1451685,,425,71324,93
2/27/2021,812,483790,13,6475,35634,436564,31,25714,810,469959,6891674,,810,469959,263
2/27/2021,1777,515072,21,8498,14958,330330,65,20340,0,230793,5000460,0,0,230793,865
2/27/2021,186,112293,7,1886,6356,90204,19,6610,213,108497,690339,,213,108497,91
2/27/2021,686,370770,22,1929,13151,177284,36,14664,1198,351396,2847706,0,1198,351396,252
2/27/2021,836,381272,18,7856,17274,463613,79,34927,16,9659,7848245,,16,9659,892
2/27/2021,69,99780,0,1472,7502,74353,2,3866,116,97678,1409086,,116,97678,21
