date,subregion1_name,subregion2_name,population,life_expectancy,new_confirmed,cumulative_confirmed,new_hospitalized_patients,cumulative_deceased,cumulative_tested,cumulative_hospitalized_patients,latitude,longitude,area_sq_km,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older
3/30/2021,Florida,St. Lucie County,313163,77.727907,48,23983,1,583,294052,1659,27.38,-80.44,1782,152888,160275,33327,35703,34984,34344,36024,42952,42993,33545,19291
3/30/2021,Florida,Lee County,740000,78.6875,230,62709,1,913,577738,2214,26.58,-81.92,3139,362589,377411,70940,75521,78176,77934,80319,96573,111619,97169,51749
3/30/2021,Florida,Wakulla County,32050,76.55,3,3248,0,55,30618,158,30.15,-84.38,736,17315,14735,3571,3951,3763,4521,4694,4667,3822,2228,833
3/30/2021,Florida,Jefferson County,14165,76.5,6,1431,0,24,14937,75,30.42,-83.9,1649,7408,6757,1398,1324,1505,1616,1792,2170,2225,1422,713
3/30/2021,Florida,Hardee County,27154,79.533333,5,2903,0,38,25658,222,27.49,-81.81,1653,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118
3/30/2021,Florida,Santa Rosa County,174049,77.245833,23,17743,0,278,96216,863,30.7,-87.02,3040,88793,85256,20285,21933,21979,23334,22751,25605,20250,12338,5574
3/30/2021,Florida,Monroe County,76483,79.424,14,6427,1,48,69477,270,25.12,-81.15,9679,39866,36617,6685,5965,8674,9510,9943,12592,12111,7598,3405
3/29/2021,Florida,Sumter County,124995,76.058333,25,8778,3,244,101384,558,28.71,-82.08,1503,62419,62576,4912,4818,6454,7631,7475,10952,31782,37721,13250
3/29/2021,Florida,Santa Rosa County,174049,77.245833,16,17720,3,278,96218,863,30.7,-87.02,3040,88793,85256,20285,21933,21979,23334,22751,25605,20250,12338,5574
3/29/2021,New York,New York County,1630698,81.935021,354,98678,1,3512,4086795,13457,40.728333,-73.994167,87,772221,858477,143009,125922,302788,302155,207787,194261,170052,112532,72192
3/29/2021,Florida,St. Johns County,243693,80.342424,50,21127,0,202,249543,754,29.91,-81.41,2127,118732,124961,26849,31992,22942,28237,33191,35526,33418,21201,10337
3/29/2021,Florida,Lee County,740000,78.6875,182,62479,0,910,577750,2213,26.58,-81.92,3139,362589,377411,70940,75521,78176,77934,80319,96573,111619,97169,51749
3/29/2021,Florida,Highlands County,103852,77.426087,11,7638,1,321,101840,625,27.34,-81.34,2865,50740,53112,9740,9851,9931,9379,9099,12091,15677,17117,10967
3/29/2021,Florida,Palm Beach County,1470344,80.354355,336,131233,10,2644,1720438,6504,26.71,-80.05,6181,712747,757597,152684,162455,169932,170011,177938,199319,178684,147328,111993
3/29/2021,Florida,Dixie County,16615,76.4,5,1553,1,23,16564,111,29.59,-83.19,2237,9138,7477,1656,1693,1831,1951,1870,2510,2392,1867,845
3/29/2021,Florida,Citrus County,145415,75.062963,18,10298,0,428,114029,678,28.85,-82.52,2002,70393,75022,11303,12466,12032,11274,13063,20057,27101,24914,13205
3/29/2021,Florida,Gadsden County,45993,75.622222,1,5532,1,89,51082,417,30.58,-84.61,1369,21903,24090,5514,5537,5703,5538,5882,6596,6001,3376,1846
3/29/2021,Florida,Polk County,685368,77.266667,171,61020,1,1237,684158,4858,27.96,-81.7,5206,335901,349467,82053,87374,87382,83183,80705,84791,82618,63958,33304
3/29/2021,Florida,Gulf County,16105,76.5,2,1914,0,41,13281,98,29.9,-85.24,1928,9447,6658,1384,1390,2170,2082,2201,2384,2252,1534,708
3/29/2021,Florida,Hamilton County,14364,75.1,1,1588,0,23,14564,80,30.49,-82.95,1345,8358,6006,1526,1580,2452,1700,1742,1918,1789,1108,549
3/29/2021,Florida,Columbia County,69999,74.754545,6,7834,0,162,73114,459,30.23,-82.63,2075,36175,33824,8454,8490,9157,8588,8125,9436,8965,5768,3016
3/29/2021,Florida,Calhoun County,14428,77.666667,1,1655,0,42,19251,59,30.41,-85.2,1488,7870,6558,1557,1649,1850,1945,1979,1959,1707,1132,650
3/29/2021,Florida,Bradford County,27142,76.2,2,2919,0,53,29733,146,29.95,-82.17,777,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194
3/29/2021,Florida,Hillsborough County,1426736,77.533083,257,121151,5,1602,1346550,2990,27.91,-82.35,3279,697571,729165,178297,178833,206500,205720,191896,187064,147586,84880,45960
3/29/2021,Florida,Leon County,290965,77.575439,28,30284,1,309,335509,690,30.46,-84.28,1818,138155,152810,29906,40925,71313,34958,29735,31207,29046,15916,7959
3/29/2021,Florida,Hendry County,41018,78.316667,6,4464,1,77,28508,335,26.55,-81.17,3082,21619,19399,6181,5960,5789,5408,5070,5078,3673,2519,1340
